UF = 11 - Rondônia
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
Total;Total;12323;7317;6264;10775;8432;9555;15866;12423;82634;165589;12323;7317;6264;10775;8432;9555;15866;12423;82634;165589
;5ª Completo Fundamental;129;49;29;36;40;50;64;74;141;612;129;49;29;36;40;50;64;74;141;612
;6ª a 9ª Fundamental;172;89;83;194;157;119;335;294;1046;2489;172;89;83;194;157;119;335;294;1046;2489
;Analfabeto;1;10;6;15;12;9;13;20;29;115;1;10;6;15;12;9;13;20;29;115
;Até 5ª Incompleto;68;37;35;85;56;143;77;107;361;969;68;37;35;85;56;143;77;107;361;969
;Doutorado;1;0;3;3;0;4;2;7;46;66;1;0;3;3;0;4;2;7;46;66
;Fundamental Completo;430;235;180;372;219;422;1039;637;1113;4647;430;235;180;372;219;422;1039;637;1113;4647
;Mestrado;6;3;6;6;12;4;54;10;110;211;6;3;6;6;12;4;54;10;110;211
;Médio Completo;9291;5176;4509;7202;5071;6082;8580;7082;36360;89353;9291;5176;4509;7202;5071;6082;8580;7082;36360;89353
;Médio Incompleto;470;241;181;332;282;416;684;632;1437;4675;470;241;181;332;282;416;684;632;1437;4675
;Superior Completo;1009;1057;937;1929;1675;1749;4410;3123;34395;50284;1009;1057;937;1929;1675;1749;4410;3123;34395;50284
;Superior Incompleto;746;420;295;601;908;557;608;437;7596;12168;746;420;295;601;908;557;608;437;7596;12168
UF = 29 - Bahia
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;10228;5417;5515;7984;7783;9306;9381;10549;25458;91621;10228;5417;5515;7984;7783;9306;9381;10549;25458;91621
;5ª Completo Fundamental;55;41;30;69;55;67;108;51;65;541;55;41;30;69;55;67;108;51;65;541
;6ª a 9ª Fundamental;102;81;56;125;160;169;148;217;139;1197;102;81;56;125;160;169;148;217;139;1197
;Analfabeto;4;0;3;5;9;3;7;1;3;35;4;0;3;5;9;3;7;1;3;35
;Até 5ª Incompleto;62;27;34;71;69;64;101;64;79;571;62;27;34;71;69;64;101;64;79;571
;Doutorado;3;4;2;3;2;1;4;1;22;42;3;4;2;3;2;1;4;1;22;42
;Fundamental Completo;315;182;150;259;309;258;427;374;360;2634;315;182;150;259;309;258;427;374;360;2634
;Mestrado;6;3;2;4;7;18;5;4;29;78;6;3;2;4;7;18;5;4;29;78
;Médio Completo;8403;4147;4185;5614;5353;6166;6334;6402;16434;63038;8403;4147;4185;5614;5353;6166;6334;6402;16434;63038
;Médio Incompleto;299;172;171;258;254;360;329;309;367;2519;299;172;171;258;254;360;329;309;367;2519
;Superior Completo;620;560;671;1210;1218;1820;1643;2687;7624;18053;620;560;671;1210;1218;1820;1643;2687;7624;18053
;Superior Incompleto;359;200;211;366;347;380;275;439;336;2913;359;200;211;366;347;380;275;439;336;2913
2016;Total;10587;5753;5487;8087;8199;9176;11239;11682;26871;97081;10587;5753;5487;8087;8199;9176;11239;11682;26871;97081
;5ª Completo Fundamental;59;29;34;69;50;78;67;57;68;511;59;29;34;69;50;78;67;57;68;511
;6ª a 9ª Fundamental;93;76;49;106;159;150;132;225;126;1116;93;76;49;106;159;150;132;225;126;1116
;Analfabeto;5;0;2;5;10;11;1;5;2;41;5;0;2;5;10;11;1;5;2;41
;Até 5ª Incompleto;54;32;35;66;71;59;71;51;62;501;54;32;35;66;71;59;71;51;62;501
;Doutorado;2;2;2;4;2;1;6;1;18;38;2;2;2;4;2;1;6;1;18;38
;Fundamental Completo;306;164;136;250;271;283;361;368;314;2453;306;164;136;250;271;283;361;368;314;2453
;Mestrado;7;1;6;4;6;12;2;5;32;75;7;1;6;4;6;12;2;5;32;75
;Médio Completo;8635;4455;4091;5687;5584;6147;7762;7226;17228;66815;8635;4455;4091;5687;5584;6147;7762;7226;17228;66815
;Médio Incompleto;308;157;159;219;239;339;322;278;304;2325;308;157;159;219;239;339;322;278;304;2325
;Superior Completo;738;633;764;1280;1412;1784;2141;3036;8348;20136;738;633;764;1280;1412;1784;2141;3036;8348;20136
;Superior Incompleto;380;204;209;397;395;312;374;430;369;3070;380;204;209;397;395;312;374;430;369;3070
2017;Total;10877;5939;6233;7868;8805;9594;11446;9958;31048;101768;10877;5939;6233;7868;8805;9594;11446;9958;31048;101768
;5ª Completo Fundamental;54;24;25;61;44;69;64;43;70;454;54;24;25;61;44;69;64;43;70;454
;6ª a 9ª Fundamental;98;73;60;85;150;124;153;153;149;1045;98;73;60;85;150;124;153;153;149;1045
;Analfabeto;6;3;2;7;5;14;3;3;2;45;6;3;2;7;5;14;3;3;2;45
;Até 5ª Incompleto;43;27;23;74;54;72;60;55;70;478;43;27;23;74;54;72;60;55;70;478
;Doutorado;3;3;3;1;21;1;4;7;19;62;3;3;3;1;21;1;4;7;19;62
;Fundamental Completo;302;155;147;182;231;240;239;244;328;2068;302;155;147;182;231;240;239;244;328;2068
;Mestrado;2;2;6;5;18;13;9;6;50;111;2;2;6;5;18;13;9;6;50;111
;Médio Completo;8868;4567;4611;5553;6027;6329;7664;6388;19682;69689;8868;4567;4611;5553;6027;6329;7664;6388;19682;69689
;Médio Incompleto;268;171;156;213;251;324;302;252;416;2353;268;171;156;213;251;324;302;252;416;2353
;Superior Completo;836;679;945;1320;1569;2075;2479;2501;9820;22224;836;679;945;1320;1569;2075;2479;2501;9820;22224
;Superior Incompleto;397;235;255;367;435;333;469;306;442;3239;397;235;255;367;435;333;469;306;442;3239
2018;Total;11329;6339;6456;8132;8705;10569;11860;12377;31566;107333;11329;6339;6456;8132;8705;10569;11860;12377;31566;107333
;5ª Completo Fundamental;52;27;28;51;32;65;69;42;58;424;52;27;28;51;32;65;69;42;58;424
;6ª a 9ª Fundamental;89;73;45;79;115;112;160;149;136;958;89;73;45;79;115;112;160;149;136;958
;Analfabeto;4;5;3;7;4;26;3;2;0;54;4;5;3;7;4;26;3;2;0;54
;Até 5ª Incompleto;50;39;20;74;45;94;79;51;61;513;50;39;20;74;45;94;79;51;61;513
;Doutorado;8;2;2;6;14;3;1;9;19;64;8;2;2;6;14;3;1;9;19;64
;Fundamental Completo;273;171;136;197;202;285;258;390;299;2211;273;171;136;197;202;285;258;390;299;2211
;Mestrado;7;3;4;7;7;14;26;28;47;143;7;3;4;7;7;14;26;28;47;143
;Médio Completo;9076;4731;4639;5658;5866;6822;7909;7736;19542;71979;9076;4731;4639;5658;5866;6822;7909;7736;19542;71979
;Médio Incompleto;278;165;169;213;241;278;337;277;349;2307;278;165;169;213;241;278;337;277;349;2307
;Superior Completo;1033;842;1071;1438;1679;2472;2561;3377;10599;25072;1033;842;1071;1438;1679;2472;2561;3377;10599;25072
;Superior Incompleto;459;281;339;402;500;398;457;316;456;3608;459;281;339;402;500;398;457;316;456;3608
2019;Total;11621;6526;6902;9036;8844;11024;13226;11439;33214;111832;11621;6526;6902;9036;8844;11024;13226;11439;33214;111832
;5ª Completo Fundamental;55;27;21;47;29;44;64;53;44;384;55;27;21;47;29;44;64;53;44;384
;6ª a 9ª Fundamental;82;71;43;86;101;106;146;153;113;901;82;71;43;86;101;106;146;153;113;901
;Analfabeto;9;5;3;14;3;25;3;8;1;71;9;5;3;14;3;25;3;8;1;71
;Até 5ª Incompleto;46;40;36;63;45;92;84;70;51;527;46;40;36;63;45;92;84;70;51;527
;Doutorado;4;1;2;12;3;2;2;8;12;46;4;1;2;12;3;2;2;8;12;46
;Fundamental Completo;272;168;132;177;198;253;272;281;378;2131;272;168;132;177;198;253;272;281;378;2131
;Mestrado;7;3;5;6;8;17;13;35;46;140;7;3;5;6;8;17;13;35;46;140
;Médio Completo;9199;4865;4939;6179;5883;7276;8730;7230;20170;74471;9199;4865;4939;6179;5883;7276;8730;7230;20170;74471
;Médio Incompleto;265;159;178;225;252;295;364;260;307;2305;265;159;178;225;252;295;364;260;307;2305
;Superior Completo;1184;875;1167;1754;1804;2542;3122;3009;11646;27103;1184;875;1167;1754;1804;2542;3122;3009;11646;27103
;Superior Incompleto;498;312;376;473;518;372;426;332;446;3753;498;312;376;473;518;372;426;332;446;3753
2020;Total;11586;6581;6828;9297;8986;11685;12753;12340;48778;128834;11586;6581;6828;9297;8986;11685;12753;12340;48778;128834
;5ª Completo Fundamental;53;31;23;39;22;38;62;49;57;374;53;31;23;39;22;38;62;49;57;374
;6ª a 9ª Fundamental;77;65;51;79;95;111;114;162;643;1397;77;65;51;79;95;111;114;162;643;1397
;Analfabeto;10;3;6;10;4;3;23;5;7;71;10;3;6;10;4;3;23;5;7;71
;Até 5ª Incompleto;48;34;32;38;48;81;69;55;140;545;48;34;32;38;48;81;69;55;140;545
;Doutorado;5;2;3;8;5;1;2;10;21;57;5;2;3;8;5;1;2;10;21;57
;Fundamental Completo;261;134;120;160;184;194;258;261;895;2467;261;134;120;160;184;194;258;261;895;2467
;Mestrado;6;4;8;8;8;18;15;30;105;202;6;4;8;8;8;18;15;30;105;202
;Médio Completo;9191;4863;4921;6372;5892;7667;8124;7600;29215;83845;9191;4863;4921;6372;5892;7667;8124;7600;29215;83845
;Médio Incompleto;248;144;153;214;245;249;304;224;457;2238;248;144;153;214;245;249;304;224;457;2238
;Superior Completo;1193;987;1098;1885;1997;2920;3442;3643;16581;33746;1193;987;1098;1885;1997;2920;3442;3643;16581;33746
;Superior Incompleto;494;314;413;484;486;403;340;301;657;3892;494;314;413;484;486;403;340;301;657;3892
2021;Total;12837;7276;7645;9429;10370;11980;13278;12826;53160;138801;12837;7276;7645;9429;10370;11980;13278;12826;53160;138801
;5ª Completo Fundamental;38;34;22;30;20;33;54;44;52;327;38;34;22;30;20;33;54;44;52;327
;6ª a 9ª Fundamental;73;66;47;67;105;109;120;131;155;873;73;66;47;67;105;109;120;131;155;873
;Analfabeto;12;7;9;10;3;1;20;9;5;76;12;7;9;10;3;1;20;9;5;76
;Até 5ª Incompleto;68;33;28;42;45;64;63;67;72;482;68;33;28;42;45;64;63;67;72;482
;Doutorado;6;3;3;11;28;2;3;9;21;86;6;3;3;11;28;2;3;9;21;86
;Fundamental Completo;230;128;123;158;155;186;265;277;461;1983;230;128;123;158;155;186;265;277;461;1983
;Mestrado;5;2;9;7;14;18;19;41;69;184;5;2;9;7;14;18;19;41;69;184
;Médio Completo;10252;5406;5548;6440;6874;7915;8376;8070;32945;91826;10252;5406;5548;6440;6874;7915;8376;8070;32945;91826
;Médio Incompleto;259;175;173;211;266;293;293;235;488;2393;259;175;173;211;266;293;293;235;488;2393
;Superior Completo;1374;1052;1237;1930;2312;2898;3718;3601;18190;36312;1374;1052;1237;1930;2312;2898;3718;3601;18190;36312
;Superior Incompleto;520;370;446;523;548;461;347;342;702;4259;520;370;446;523;548;461;347;342;702;4259
Total;Total;79065;43831;45066;59833;61692;73334;83183;81171;250095;777270;79065;43831;45066;59833;61692;73334;83183;81171;250095;777270
;5ª Completo Fundamental;366;213;183;366;252;394;488;339;414;3015;366;213;183;366;252;394;488;339;414;3015
;6ª a 9ª Fundamental;614;505;351;627;885;881;973;1190;1461;7487;614;505;351;627;885;881;973;1190;1461;7487
;Analfabeto;50;23;28;58;38;83;60;33;20;393;50;23;28;58;38;83;60;33;20;393
;Até 5ª Incompleto;371;232;208;428;377;526;527;413;535;3617;371;232;208;428;377;526;527;413;535;3617
;Doutorado;31;17;17;45;75;11;22;45;132;395;31;17;17;45;75;11;22;45;132;395
;Fundamental Completo;1959;1102;944;1383;1550;1699;2080;2195;3035;15947;1959;1102;944;1383;1550;1699;2080;2195;3035;15947
;Mestrado;40;18;40;41;68;110;89;149;378;933;40;18;40;41;68;110;89;149;378;933
;Médio Completo;63624;33034;32934;41503;41479;48322;54899;50652;155216;521663;63624;33034;32934;41503;41479;48322;54899;50652;155216;521663
;Médio Incompleto;1925;1143;1159;1553;1748;2138;2251;1835;2688;16440;1925;1143;1159;1553;1748;2138;2251;1835;2688;16440
;Superior Completo;6978;5628;6953;10817;11991;16511;19106;21854;82808;182646;6978;5628;6953;10817;11991;16511;19106;21854;82808;182646
;Superior Incompleto;3107;1916;2249;3012;3229;2659;2688;2466;3408;24734;3107;1916;2249;3012;3229;2659;2688;2466;3408;24734
UF = 31 - Minas Gerais
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;27983;10651;9275;14648;14017;17464;25586;24644;53446;197714;27983;10651;9275;14648;14017;17464;25586;24644;53446;197714
;5ª Completo Fundamental;345;139;104;291;336;367;479;435;707;3203;345;139;104;291;336;367;479;435;707;3203
;6ª a 9ª Fundamental;636;259;207;424;534;531;915;775;1192;5473;636;259;207;424;534;531;915;775;1192;5473
;Analfabeto;7;7;12;9;17;14;10;10;20;106;7;7;12;9;17;14;10;10;20;106
;Até 5ª Incompleto;158;90;63;180;178;205;270;198;393;1735;158;90;63;180;178;205;270;198;393;1735
;Doutorado;3;0;2;2;8;7;3;10;26;61;3;0;2;2;8;7;3;10;26;61
;Fundamental Completo;1796;664;497;889;765;1257;1303;1288;1919;10378;1796;664;497;889;765;1257;1303;1288;1919;10378
;Mestrado;6;10;9;19;14;11;49;40;39;197;6;10;9;19;14;11;49;40;39;197
;Médio Completo;19920;6863;5908;8537;8131;9989;15856;15272;29473;119949;19920;6863;5908;8537;8131;9989;15856;15272;29473;119949
;Médio Incompleto;1564;482;416;607;586;712;1258;740;1219;7584;1564;482;416;607;586;712;1258;740;1219;7584
;Superior Completo;2419;1692;1646;3133;3007;3857;4891;5349;17146;43140;2419;1692;1646;3133;3007;3857;4891;5349;17146;43140
;Superior Incompleto;1129;445;411;557;441;514;552;527;1312;5888;1129;445;411;557;441;514;552;527;1312;5888
2016;Total;28720;11141;9861;14049;14584;16783;27640;23095;52481;198354;28720;11141;9861;14049;14584;16783;27640;23095;52481;198354
;5ª Completo Fundamental;315;134;98;266;325;306;440;368;698;2950;315;134;98;266;325;306;440;368;698;2950
;6ª a 9ª Fundamental;617;242;195;411;502;482;856;641;1134;5080;617;242;195;411;502;482;856;641;1134;5080
;Analfabeto;7;8;5;8;23;6;12;11;19;99;7;8;5;8;23;6;12;11;19;99
;Até 5ª Incompleto;156;77;64;184;196;171;237;174;395;1654;156;77;64;184;196;171;237;174;395;1654
;Doutorado;7;2;2;3;8;9;4;11;22;68;7;2;2;3;8;9;4;11;22;68
;Fundamental Completo;1697;633;518;771;744;933;1529;1218;1696;9739;1697;633;518;771;744;933;1529;1218;1696;9739
;Mestrado;8;9;15;30;18;15;48;45;32;220;8;9;15;30;18;15;48;45;32;220
;Médio Completo;20444;7155;6231;8211;8468;9790;17168;14309;28788;120564;20444;7155;6231;8211;8468;9790;17168;14309;28788;120564
;Médio Incompleto;1501;458;412;545;605;651;1160;691;1184;7207;1501;458;412;545;605;651;1160;691;1184;7207
;Superior Completo;2716;1886;1904;3099;3273;3901;5574;5099;17199;44651;2716;1886;1904;3099;3273;3901;5574;5099;17199;44651
;Superior Incompleto;1252;537;417;521;422;519;612;528;1314;6122;1252;537;417;521;422;519;612;528;1314;6122
2017;Total;29730;11531;10156;14375;13216;17854;25579;29171;50776;202388;29730;11531;10156;14375;13216;17854;25579;29171;50776;202388
;5ª Completo Fundamental;284;102;101;247;239;310;372;471;563;2689;284;102;101;247;239;310;372;471;563;2689
;6ª a 9ª Fundamental;578;208;185;391;444;485;770;807;954;4822;578;208;185;391;444;485;770;807;954;4822
;Analfabeto;7;8;5;7;13;16;9;10;14;89;7;8;5;7;13;16;9;10;14;89
;Até 5ª Incompleto;147;72;76;167;184;204;251;298;360;1759;147;72;76;167;184;204;251;298;360;1759
;Doutorado;8;3;2;4;6;69;1;19;21;133;8;3;2;4;6;69;1;19;21;133
;Fundamental Completo;1621;593;449;734;678;930;1427;1352;1421;9205;1621;593;449;734;678;930;1427;1352;1421;9205
;Mestrado;16;9;14;20;47;18;20;78;45;267;16;9;14;20;47;18;20;78;45;267
;Médio Completo;21177;7483;6497;8195;7631;10239;15686;17943;27235;122086;21177;7483;6497;8195;7631;10239;15686;17943;27235;122086
;Médio Incompleto;1466;464;383;554;527;662;1037;887;1047;7027;1466;464;383;554;527;662;1037;887;1047;7027
;Superior Completo;3061;2069;1997;3501;3057;4395;5372;6602;17697;47751;3061;2069;1997;3501;3057;4395;5372;6602;17697;47751
;Superior Incompleto;1365;520;447;555;390;526;634;704;1419;6560;1365;520;447;555;390;526;634;704;1419;6560
2018;Total;30695;12498;10578;14427;14483;19548;25384;28324;56997;212934;30695;12498;10578;14427;14483;19548;25384;28324;56997;212934
;5ª Completo Fundamental;270;98;90;211;229;355;330;449;630;2662;270;98;90;211;229;355;330;449;630;2662
;6ª a 9ª Fundamental;539;236;164;388;429;514;765;671;1069;4775;539;236;164;388;429;514;765;671;1069;4775
;Analfabeto;8;1;10;12;11;16;10;10;11;89;8;1;10;12;11;16;10;10;11;89
;Até 5ª Incompleto;164;78;73;172;169;228;249;307;513;1953;164;78;73;172;169;228;249;307;513;1953
;Doutorado;9;3;2;8;6;60;3;22;37;150;9;3;2;8;6;60;3;22;37;150
;Fundamental Completo;1462;583;410;607;672;900;1138;1077;2044;8893;1462;583;410;607;672;900;1138;1077;2044;8893
;Mestrado;23;8;22;27;51;27;53;147;88;446;23;8;22;27;51;27;53;147;88;446
;Médio Completo;21748;7985;6453;8164;8153;11184;15622;17110;30774;127193;21748;7985;6453;8164;8153;11184;15622;17110;30774;127193
;Médio Incompleto;1393;449;385;556;530;675;949;880;1079;6896;1393;449;385;556;530;675;949;880;1079;6896
;Superior Completo;3589;2447;2430;3652;3739;4932;5439;6850;19126;52204;3589;2447;2430;3652;3739;4932;5439;6850;19126;52204
;Superior Incompleto;1490;610;539;630;494;657;826;801;1626;7673;1490;610;539;630;494;657;826;801;1626;7673
2019;Total;31432;12767;11153;14604;14070;18516;26504;27124;62066;218236;31432;12767;11153;14604;14070;18516;26504;27124;62066;218236
;5ª Completo Fundamental;255;85;86;196;217;333;342;431;622;2567;255;85;86;196;217;333;342;431;622;2567
;6ª a 9ª Fundamental;506;209;169;332;391;501;714;686;1137;4645;506;209;169;332;391;501;714;686;1137;4645
;Analfabeto;17;10;10;13;24;22;16;14;17;143;17;10;10;13;24;22;16;14;17;143
;Até 5ª Incompleto;163;87;58;164;154;243;238;335;540;1982;163;87;58;164;154;243;238;335;540;1982
;Doutorado;11;3;5;11;6;16;22;246;34;354;11;3;5;11;6;16;22;246;34;354
;Fundamental Completo;1366;519;407;581;669;802;1190;946;2155;8635;1366;519;407;581;669;802;1190;946;2155;8635
;Mestrado;14;10;15;22;41;26;57;138;97;420;14;10;15;22;41;26;57;138;97;420
;Médio Completo;22399;8171;6850;8301;8047;10602;16950;15924;33182;130426;22399;8171;6850;8301;8047;10602;16950;15924;33182;130426
;Médio Incompleto;1270;425;388;531;526;653;908;862;1135;6698;1270;425;388;531;526;653;908;862;1135;6698
;Superior Completo;3887;2597;2592;3786;3490;4696;5227;6765;21350;54390;3887;2597;2592;3786;3490;4696;5227;6765;21350;54390
;Superior Incompleto;1544;651;573;667;505;622;840;777;1797;7976;1544;651;573;667;505;622;840;777;1797;7976
2020;Total;31493;13099;11547;15158;13844;19488;24242;33644;68652;231167;31493;13099;11547;15158;13844;19488;24242;33644;68652;231167
;5ª Completo Fundamental;216;84;94;188;180;238;254;440;602;2296;216;84;94;188;180;238;254;440;602;2296
;6ª a 9ª Fundamental;450;210;160;334;368;456;575;705;1137;4395;450;210;160;334;368;456;575;705;1137;4395
;Analfabeto;30;15;11;14;19;25;16;16;26;172;30;15;11;14;19;25;16;16;26;172
;Até 5ª Incompleto;139;91;69;145;145;203;184;340;541;1857;139;91;69;145;145;203;184;340;541;1857
;Doutorado;9;3;11;13;9;20;21;232;32;350;9;3;11;13;9;20;21;232;32;350
;Fundamental Completo;1248;508;391;530;593;770;934;1098;2192;8264;1248;508;391;530;593;770;934;1098;2192;8264
;Mestrado;17;16;23;17;45;92;62;88;99;459;17;16;23;17;45;92;62;88;99;459
;Médio Completo;22509;8276;7211;8624;7891;11476;15403;20609;37544;139543;22509;8276;7211;8624;7891;11476;15403;20609;37544;139543
;Médio Incompleto;1198;425;378;493;511;630;664;965;1162;6426;1198;425;378;493;511;630;664;965;1162;6426
;Superior Completo;4113;2783;2606;4091;3524;5048;5356;8126;23379;59026;4113;2783;2606;4091;3524;5048;5356;8126;23379;59026
;Superior Incompleto;1564;688;593;709;559;530;773;1025;1938;8379;1564;688;593;709;559;530;773;1025;1938;8379
2021;Total;34168;15622;12972;15291;15631;20138;25243;36331;67911;243307;34168;15622;12972;15291;15631;20138;25243;36331;67911;243307
;5ª Completo Fundamental;208;100;78;182;188;225;245;406;2232;3864;208;100;78;182;188;225;245;406;2232;3864
;6ª a 9ª Fundamental;452;232;156;297;363;441;546;721;3424;6632;452;232;156;297;363;441;546;721;3424;6632
;Analfabeto;37;27;13;15;16;34;11;31;146;330;37;27;13;15;16;34;11;31;146;330
;Até 5ª Incompleto;157;113;74;147;137;192;181;323;770;2094;157;113;74;147;137;192;181;323;770;2094
;Doutorado;11;7;6;12;21;10;15;210;25;317;11;7;6;12;21;10;15;210;25;317
;Fundamental Completo;1275;504;372;487;608;699;959;1143;3030;9077;1275;504;372;487;608;699;959;1143;3030;9077
;Mestrado;22;20;24;16;55;38;40;94;103;412;22;20;24;16;55;38;40;94;103;412
;Médio Completo;24480;10148;8153;9123;8839;11887;15976;22172;34437;145215;24480;10148;8153;9123;8839;11887;15976;22172;34437;145215
;Médio Incompleto;1222;523;409;460;571;633;718;1001;1177;6714;1222;523;409;460;571;633;718;1001;1177;6714
;Superior Completo;4521;3100;2957;3881;4214;5299;5642;9120;21039;59773;4521;3100;2957;3881;4214;5299;5642;9120;21039;59773
;Superior Incompleto;1783;848;730;671;619;680;910;1110;1528;8879;1783;848;730;671;619;680;910;1110;1528;8879
Total;Total;214221;87309;75542;102552;99845;129791;180178;202333;412329;1504100;214221;87309;75542;102552;99845;129791;180178;202333;412329;1504100
;5ª Completo Fundamental;1893;742;651;1581;1714;2134;2462;3000;6054;20231;1893;742;651;1581;1714;2134;2462;3000;6054;20231
;6ª a 9ª Fundamental;3778;1596;1236;2577;3031;3410;5141;5006;10047;35822;3778;1596;1236;2577;3031;3410;5141;5006;10047;35822
;Analfabeto;113;76;66;78;123;133;84;102;253;1028;113;76;66;78;123;133;84;102;253;1028
;Até 5ª Incompleto;1084;608;477;1159;1163;1446;1610;1975;3512;13034;1084;608;477;1159;1163;1446;1610;1975;3512;13034
;Doutorado;58;21;30;53;64;191;69;750;197;1433;58;21;30;53;64;191;69;750;197;1433
;Fundamental Completo;10465;4004;3044;4599;4729;6291;8480;8122;14457;64191;10465;4004;3044;4599;4729;6291;8480;8122;14457;64191
;Mestrado;106;82;122;151;271;227;329;630;503;2421;106;82;122;151;271;227;329;630;503;2421
;Médio Completo;152677;56081;47303;59155;57160;75167;112661;123339;221433;904976;152677;56081;47303;59155;57160;75167;112661;123339;221433;904976
;Médio Incompleto;9614;3226;2771;3746;3856;4616;6694;6026;8003;48552;9614;3226;2771;3746;3856;4616;6694;6026;8003;48552
;Superior Completo;24306;16574;16132;25143;24304;32128;37501;47911;136936;360935;24306;16574;16132;25143;24304;32128;37501;47911;136936;360935
;Superior Incompleto;10127;4299;3710;4310;3430;4048;5147;5472;10934;51477;10127;4299;3710;4310;3430;4048;5147;5472;10934;51477
UF = 32 - Espírito Santo
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;5433;1901;2060;2995;3083;4121;3075;5444;10245;38357;5433;1901;2060;2995;3083;4121;3075;5444;10245;38357
;5ª Completo Fundamental;29;18;6;21;27;61;30;52;58;302;29;18;6;21;27;61;30;52;58;302
;6ª a 9ª Fundamental;80;39;19;46;72;114;125;172;294;961;80;39;19;46;72;114;125;172;294;961
;Analfabeto;1;0;1;1;1;1;3;1;0;9;1;0;1;1;1;1;3;1;0;9
;Até 5ª Incompleto;30;12;7;19;20;30;70;59;48;295;30;12;7;19;20;30;70;59;48;295
;Doutorado;0;0;0;0;0;0;0;16;3;19;0;0;0;0;0;0;0;16;3;19
